Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL4161650,,None,377.42,0,4.4,8,C[C@H](C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1)c1ccccc1,IC50,'=',230.14,nM,6.64,,,UO_0000065,17.59,0.32,2.24,7.88,0,CHEMBL4275645,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 60 mins by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4160579,,None,405.47,1,5.04,108; 113; 119,CC(C)[C@@H](C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1)c1ccccc1,IC50,'=',1698.24,nM,5.77,,,UO_0000065,14.23,0.26,0.73,6.85,0,CHEMBL4275645,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 60 mins by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL4290246,,None,390.42,0,3.73,128,Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2)cn1,IC50,'=',1000,nM,6,,,UO_0000065,15.37,0.28,2.27,6.18,0,CHEMBL4275645,Inhibition of full length human C-terminal His-tagged HDAC3/N-terminal GST-tagged NCOR2 (395 to 489 residues) co-expressed in baculovirus infected sf9 cells using (FAM)-labeled acetylated peptide substrate after 60 mins by caliper microfluidic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4270635,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL1914702,,None,546.55,2,5.53,2b,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,IC50,'=',45,nM,7.35,,,UO_0000065,13.44,0.25,1.82,3.18,0,CHEMBL1921157,Inhibition of human recombinant HDAC3/NCoR2 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,,
CHEMBL4217705,,None,312.41,0,3.36,2b,O=C(CCCCN(Cc1ccccc1)Cc1ccccc1)NO,IC50,'=',1400,nM,5.85,,,UO_0000065,18.74,0.35,2.49,11.14,0,CHEMBL4193701,Inhibition of recombinant human full-length C-terminal His-tagged HDAC3 (395 to 489 residues)/human NCOR2 expressed in baculovirus infected Sf9 insect cells using Boc-L-Lys(Ac)-AMC as substrate pretreated for 5 mins followed by substrate addition measured after 35 mins by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4190328,1,Scientific Literature,ACS Med Chem Lett,2017,None,,,
CHEMBL99,TRICHOSTATIN,1,302.37,0,2.58,Trichostatin A,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4707186,Inhibition of recombinant human C-terminal His-tagged HDAC3 (1 to 428 end residues)/N-terminal GST-tagged recombinant human NCoR2 (395 to 489 residues) expressed in baculovirus infected Sf9 cells using fluorogenic HDAC substrate 3 measured after 30 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4706478,1,Scientific Literature,J Med Chem,2018,None,TIME = 0.5 hr,,
CHEMBL2170177,,None,296.33,0,2.82,52,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,IC50,'>',20000,nM,,,,UO_0000065,,,,,0,CHEMBL4771505,Inhibition of HDAC3/NCoR2 (unknown origin) using p53 (379 to 382 residues) (Arg-His-Lys-Lys(Ac)) as substrate incubated for 30 mins by fluorescence method,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4765362,1,Scientific Literature,J Med Chem,2020,None,TIME = 0.5 hr,,
CHEMBL1836144,,None,549.78,2,1.11,6,CC[C@H](C)[C@H]1NC(=O)[C@@H](CS)NC(=O)[C@@H](CCSC)NC(=O)C[C@@H](/C=C/CCS)OC(=O)C[C@@H]1O,IC50,'=',4.8,nM,8.32,,,UO_0000065,15.13,0.32,7.21,6.22,0,CHEMBL1838189,Inhibition of recombinant human HDAC3/NCOR2 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1833850,1,Scientific Literature,J Nat Prod,2011,None,,,
CHEMBL1836042,,None,531.74,2,1.55,7,CCCC[C@H]1NC(=O)C[C@@H](/C=C/CCS)OC(=O)C[C@H](O)[C@@H]([C@@H](C)CC)NC(=O)[C@@H](CS)NC1=O,IC50,'=',9.4,nM,8.03,,,UO_0000065,15.1,0.31,6.48,6,0,CHEMBL1838189,Inhibition of recombinant human HDAC3/NCOR2 using Boc-L-Lys(epsilon-trifluoroacetyl)-AMC as substrate by two-step fluorogenic assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1833850,1,Scientific Literature,J Nat Prod,2011,None,,,
CHEMBL1771485,,None,337.34,0,1.58,A14B4,C#CCOc1ccc(/C=N/NC(=O)c2cccc(C(=O)NO)c2)cc1,IC50,'=',6200,nM,5.21,,,UO_0000065,15.44,0.28,3.63,5.21,0,CHEMBL1772081,Inhibition of full length HDAC3/NCoR2 assessed as 7-amino-4-methylcoumarin release from fluorophore conjugated substrate after 5 mins by fluorescence assay,B,BAO_0000223,protein complex format,None,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL1770095,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,
CHEMBL4168051,,None,378.41,0,3.8,13,C[C@H](C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)nc1)c1ccccc1,IC50,'=',130,nM,6.89,,,UO_0000065,18.2,0.34,3.09,7.09,0,CHEMBL4133866,Inhibition of human HDAC3/NCOR2 using p53 (379 to 382 residues) derived fluorogenic peptide RHKKAc,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None,,,
CHEMBL4174803,,None,406.46,0,4.43,17,CC(C)[C@@H](C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cn1)c1ccccc1,IC50,'=',1700,nM,5.77,,,UO_0000065,14.19,0.26,1.34,5.94,0,CHEMBL4133866,Inhibition of human HDAC3/NCOR2 using p53 (379 to 382 residues) derived fluorogenic peptide RHKKAc,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4130443,1,Scientific Literature,Eur J Med Chem,2017,None,,,
CHEMBL4545275,,None,490.53,0,3.41,26a,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NN(C)C)cc1.O=C(O)C(F)(F)F,IC50,'=',996.4,nM,6,,,UO_0000065,15.94,0.29,2.59,9.98,0,CHEMBL4346118,Inhibition of recombinant human C-terminal GST/His-tagged HDAC3 (1 to 428 residues) co-expressed with human N-terminal GST-tagged NCOR2 (395 to 489 residues) in baculovirus infected Sf9 cells using Boc-Lys(acetyl)-AMC as substrate preincubated for 1 hr followed by substrate addition and measured after 2 hrs by fluorescence based micro plate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL4342521,1,Scientific Literature,J Med Chem,2020,CHEMBL3308860,,,
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL99,TRICHOSTATIN,1,302.37,0,2.58,TSA,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,'=',9,nM,8.05,,,UO_0000065,26.61,0.5,5.47,11.55,0,CHEMBL929248,Displacement of fluorescent 5-(3-(3-(4-((4-((7-(hydroxyamino)-7-oxoheptyl)carbamoyl)phenylamino)methyl)-1H-1,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2170186,,None,595.79,1,3.69,5,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H](C)N(C)C(=O)CCN(CC(C)C)C(=O)CN(CCc2c[nH]c3ccccc23)C1=O,IC50,'=',650,nM,6.19,,,UO_0000065,10.38,0.2,2.5,5.03,0,CHEMBL2174034,Inhibition of human recombinant HDAC3/NCoR2 using Ac-Lys(Ac)-7-amino-4-methylcoumarin as substrate after 30 mins by trypsin-coupled fluorogenic assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL2111363,Histone deacetylase 3/Nuclear receptor corepressor 2 (HDAC3/NCoR2),Homo sapiens,PROTEIN COMPLEX,CHEMBL2169795,1,Scientific Literature,ACS Med Chem Lett,2012,None,,,
